,Date,Exercise Name,Weight,Reps
1688,2025-07-25 18:53:16,Seated Leg Curl (Machine),22.6796185,10.0
1690,2025-07-25 18:53:16,Seated Leg Curl (Machine),27.2155422,11.0
1691,2025-07-25 18:53:16,Seated Leg Curl (Machine),27.2155422,10.0
1694,2025-07-25 18:53:16,Seated Leg Curl (Machine),22.6796185,7.0
1696,2025-07-25 18:53:16,Seated Leg Curl (Machine),22.6796185,11.0
1700,2025-07-25 18:53:16,Seated Leg Curl (Machine),27.2155422,7.0
1704,2025-07-25 18:53:16,Leg Extension (Machine),9.071847400000001,11.0
1705,2025-07-25 18:53:16,Leg Extension (Machine),18.143694800000002,5.0
1708,2025-07-25 18:53:16,Leg Extension (Machine),13.6077711,10.0
1709,2025-07-25 18:53:16,Leg Extension (Machine),13.6077711,8.0
1710,2025-07-25 18:53:16,Leg Extension (Machine),13.6077711,8.0
1715,2025-07-26 14:01:39,Hip Abductor (Machine),55.0,12.0
1717,2025-07-26 14:01:39,Hip Abductor (Machine),55.0,9.0
1720,2025-07-26 14:01:39,Hip Abductor (Machine),55.0,11.0
1721,2025-07-26 14:01:39,Hip Abductor (Machine),55.0,14.0
1728,2025-07-26 14:01:39,Hip Adductor (Machine),55.0,7.0
1729,2025-07-26 14:01:39,Hip Adductor (Machine),60.0,16.0
1732,2025-07-26 14:01:39,Hip Adductor (Machine),60.0,8.0
1734,2025-07-26 14:01:39,Hip Adductor (Machine),60.0,11.0
1737,2025-07-26 14:01:39,Seated Leg Press (Machine),18.143694800000002,5.0
1740,2025-07-26 14:01:39,Seated Leg Press (Machine),45.359237,4.0
1741,2025-07-26 14:01:39,Seated Leg Press (Machine),45.4000603133,9.0
1744,2025-07-26 14:01:39,Seated Leg Press (Machine),36.2012070497,18.0
1746,2025-07-26 14:01:39,Seated Leg Press (Machine),36.2012070497,17.0
1747,2025-07-26 14:01:39,Seated Leg Press (Machine),36.287389600000004,13.0
1750,2025-07-27 20:28:05,Lat Pulldown (Cable),45.0,8.0
1751,2025-07-27 20:28:05,Lat Pulldown (Cable),45.0,9.0
1755,2025-07-27 20:28:05,Lat Pulldown (Cable),45.0,11.0
1757,2025-07-27 20:28:05,Lat Pulldown (Cable),37.0,9.0
1761,2025-07-27 20:28:05,Bicep Curl (Dumbbell),6.0,11.0
1764,2025-07-27 20:28:05,Bicep Curl (Dumbbell),7.0,9.0
1765,2025-07-27 20:28:05,Bicep Curl (Dumbbell),6.0,11.0
1766,2025-07-27 20:28:05,Bicep Curl (Dumbbell),6.0,13.0
1769,2025-07-28 13:25:45,Lateral Raise (Dumbbell),5.0,6.0
1772,2025-07-28 13:25:45,Lateral Raise (Dumbbell),5.0,9.0
1773,2025-07-28 13:25:45,Lateral Raise (Dumbbell),5.0,13.0
1774,2025-07-28 13:25:45,Lateral Raise (Dumbbell),4.0,10.0
1778,2025-07-28 13:25:45,Bench Press (Dumbbell),10.0,10.0
1781,2025-07-28 13:25:45,Bench Press (Dumbbell),10.0,16.0
1782,2025-07-28 13:25:45,Bench Press (Dumbbell),10.0,11.0
1785,2025-07-28 13:25:45,Bench Press (Dumbbell),10.0,13.0
1788,2025-07-28 13:25:45,Triceps Extension (Cable),18.0,11.0
1790,2025-07-28 13:25:45,Triceps Extension (Cable),18.0,10.0
1791,2025-07-28 13:25:45,Triceps Extension (Cable),18.0,8.0
1793,2025-07-28 13:25:45,Triceps Extension (Cable),18.0,9.0
1796,2025-07-28 20:32:20,Leg Extension (Machine),13.6077711,11.0
1798,2025-07-28 20:32:20,Leg Extension (Machine),18.143694800000002,6.0
1803,2025-07-28 20:32:20,Leg Extension (Machine),13.6077711,4.0
1804,2025-07-28 20:32:20,Leg Extension (Machine),13.6077711,12.0
1805,2025-07-28 20:32:20,Leg Extension (Machine),13.6077711,12.0
1807,2025-07-28 20:32:20,Seated Leg Curl (Machine),27.2155422,14.0
1809,2025-07-28 20:32:20,Seated Leg Curl (Machine),27.2155422,8.0
1812,2025-07-28 20:32:20,Seated Leg Curl (Machine),27.2155422,10.0
1813,2025-07-28 20:32:20,Seated Leg Curl (Machine),27.2155422,10.0
1815,2025-07-29 19:58:11,Hip Abductor (Machine),55.0,4.0
1816,2025-07-29 19:58:11,Hip Abductor (Machine),55.0,9.0
1824,2025-07-29 19:58:11,Hip Abductor (Machine),57.5,9.0
1826,2025-07-29 19:58:11,Hip Abductor (Machine),57.5,10.0
1829,2025-07-29 19:58:11,Hip Abductor (Machine),57.5,11.0
1830,2025-07-29 19:58:11,Hip Adductor (Machine),60.0,14.0
1832,2025-07-29 19:58:11,Hip Adductor (Machine),60.0,8.0
1834,2025-07-29 19:58:11,Hip Adductor (Machine),60.0,7.0
1835,2025-07-29 19:58:11,Hip Adductor (Machine),55.0,8.0
1839,2025-07-29 19:58:11,Hip Adductor (Machine),55.0,3.0
1844,2025-07-29 19:58:11,Seated Leg Press (Machine),36.2012070497,19.0
1847,2025-07-29 19:58:11,Seated Leg Press (Machine),18.143694800000002,5.0
1850,2025-07-29 19:58:11,Seated Leg Press (Machine),36.287389600000004,17.0
1851,2025-07-29 19:58:11,Seated Leg Press (Machine),36.2012070497,25.0
1852,2025-07-29 19:58:11,Seated Leg Press (Machine),45.4000603133,6.0
1855,2025-07-31 12:12:11,Bicep Curl (Dumbbell),6.0,9.0
1857,2025-07-31 12:12:11,Bicep Curl (Dumbbell),7.0,9.0
1859,2025-07-31 12:12:11,Bicep Curl (Dumbbell),6.0,11.0
1860,2025-07-31 12:12:11,Bicep Curl (Dumbbell),7.0,12.0
1863,2025-07-31 12:12:11,Lat Pulldown (Cable),45.0,7.0
1865,2025-07-31 12:12:11,Lat Pulldown (Cable),37.0,10.0
1867,2025-07-31 12:12:11,Lat Pulldown (Cable),37.0,10.0
1868,2025-07-31 12:12:11,Lat Pulldown (Cable),45.0,10.0
1870,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,13.0
1873,2025-08-03 22:03:46,Lateral Raise (Cable),10.0,2.0
1875,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,11.0
1879,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,15.0
1880,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,10.0
1884,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,8.0
1886,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,15.0
1888,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,11.0
1895,2025-08-03 22:03:46,Lateral Raise (Cable),5.0,14.0
1898,2025-08-03 22:03:46,Lateral Raise (Cable),10.0,4.0
1900,2025-08-03 22:03:46,Bench Press (Dumbbell),10.0,11.0
1901,2025-08-03 22:03:46,Bench Press (Dumbbell),10.0,8.0
1903,2025-08-03 22:03:46,Bench Press (Dumbbell),10.0,11.0
1905,2025-08-03 22:03:46,Bench Press (Dumbbell),10.0,17.0
1910,2025-08-03 22:03:46,Triceps Pushdown (^bar),15.0,20.0
1911,2025-08-03 22:03:46,Triceps Pushdown (^bar),20.0,14.0
1912,2025-08-03 22:03:46,Triceps Pushdown (^bar),25.0,12.0
1914,2025-08-03 22:03:46,Triceps Pushdown (^bar),25.0,10.0
1920,2025-08-05 13:16:47,Lat Pulldown (Cable),30.0,8.0
1921,2025-08-05 13:16:47,Lat Pulldown (Cable),27.75,11.0
1923,2025-08-05 13:16:47,Lat Pulldown (Cable),27.75,12.0
1925,2025-08-05 13:16:47,Lat Pulldown (Cable),27.75,9.0
1927,2025-08-05 13:16:47,Bicep Curl (Dumbbell),6.0,9.0
1928,2025-08-05 13:16:47,Bicep Curl (Dumbbell),7.0,13.0
1930,2025-08-05 13:16:47,Bicep Curl (Dumbbell),7.0,7.0
1931,2025-08-05 13:16:47,Bicep Curl (Dumbbell),6.0,7.0
1936,2025-08-05 19:15:04,Hip Adductor (Machine),57.5,8.0
1937,2025-08-05 19:15:04,Hip Adductor (Machine),69.5,9.0
1941,2025-08-05 19:15:04,Hip Adductor (Machine),60.0,10.0
1943,2025-08-05 19:15:04,Hip Adductor (Machine),67.0,7.0
1947,2025-08-05 19:15:04,Hip Abductor (Machine),52.5,11.0
1952,2025-08-05 19:15:04,Hip Abductor (Machine),57.5,10.0
1953,2025-08-05 19:15:04,Hip Abductor (Machine),52.5,9.0
1954,2025-08-05 19:15:04,Hip Abductor (Machine),57.5,13.0
1956,2025-08-05 19:15:04,Seated Leg Press (Machine),36.287389600000004,11.0
1958,2025-08-05 19:15:04,Seated Leg Press (Machine),45.359237,5.0
1961,2025-08-05 19:15:04,Seated Leg Press (Machine),45.359237,10.0
1965,2025-08-05 19:15:04,Seated Leg Press (Machine),36.287389600000004,9.0
1966,2025-08-05 19:15:04,Seated Leg Press (Machine),18.143694800000002,5.0
1967,2025-08-05 19:15:04,Seated Leg Press (Machine),36.287389600000004,12.0
1968,2025-08-07 20:19:36,Leg Extension (Machine),18.143694800000002,9.0
1970,2025-08-07 20:19:36,Leg Extension (Machine),13.6077711,10.0
1975,2025-08-07 20:19:36,Leg Extension (Machine),13.6077711,10.0
1978,2025-08-07 20:19:36,Leg Extension (Machine),13.6077711,9.0
1980,2025-08-07 20:19:36,Seated Leg Curl (Machine),22.6796185,8.0
1981,2025-08-07 20:19:36,Seated Leg Curl (Machine),27.2155422,10.0
1983,2025-08-07 20:19:36,Seated Leg Curl (Machine),24.947580350000003,9.0
1986,2025-08-07 20:19:36,Seated Leg Curl (Machine),27.2155422,8.0
1988,2025-08-08 22:00:29,Lateral Raise (Dumbbell),5.0,10.0
1991,2025-08-08 22:00:29,Lateral Raise (Dumbbell),5.0,8.0
1993,2025-08-08 22:00:29,Lateral Raise (Dumbbell),3.0,18.0
1994,2025-08-08 22:00:29,Lateral Raise (Dumbbell),4.0,9.0
1996,2025-08-08 22:00:29,Lateral Raise (Dumbbell),5.0,9.0
1998,2025-08-08 22:00:29,Bench Press (Dumbbell),10.0,15.0
1999,2025-08-08 22:00:29,Bench Press (Dumbbell),10.0,8.0
2002,2025-08-08 22:00:29,Bench Press (Dumbbell),10.0,13.0
2003,2025-08-08 22:00:29,Bench Press (Dumbbell),8.0,17.0
2006,2025-08-08 22:00:29,Bench Press (Dumbbell),10.0,14.0
2008,2025-08-08 22:00:29,Triceps Extension (Cable),15.0,8.0
2009,2025-08-08 22:00:29,Triceps Extension (Cable),10.0,11.0
2012,2025-08-08 22:00:29,Triceps Extension (Cable),20.0,8.0
2013,2025-08-08 22:00:29,Triceps Extension (Cable),15.0,12.0
2014,2025-08-08 22:00:29,Triceps Extension (Cable),5.0,15.0
2018,2025-08-09 12:21:20,Hip Adductor (Machine),55.0,8.0
2020,2025-08-09 12:21:20,Hip Adductor (Machine),67.5,11.0
2022,2025-08-09 12:21:20,Hip Adductor (Machine),60.0,7.0
2026,2025-08-09 12:21:20,Hip Adductor (Machine),55.0,4.0
2027,2025-08-09 12:21:20,Hip Adductor (Machine),60.0,4.0
2029,2025-08-09 12:21:20,Hip Adductor (Machine),67.5,7.0
2035,2025-08-09 12:21:20,Hip Abductor (Machine),55.0,11.0
2037,2025-08-09 12:21:20,Hip Abductor (Machine),55.0,10.0
2040,2025-08-09 12:21:20,Hip Abductor (Machine),60.0,8.0
2042,2025-08-09 12:21:20,Hip Abductor (Machine),60.0,12.0
2043,2025-08-09 12:21:20,Hip Abductor (Machine),55.0,4.0
2053,2025-08-09 12:57:03,Seated Leg Press (Machine),36.287389600000004,5.0
2055,2025-08-09 12:57:03,Seated Leg Press (Machine),45.359237,11.0
2060,2025-08-09 12:57:03,Seated Leg Press (Machine),45.359237,6.0
2062,2025-08-09 12:57:03,Seated Leg Press (Machine),18.143694800000002,5.0
2064,2025-08-09 12:57:03,Seated Leg Press (Machine),45.359237,7.0
2066,2025-08-09 12:57:03,Seated Leg Press (Machine),36.287389600000004,8.0
2073,2025-08-10 16:05:10,Lat Pulldown (Cable),30.0,9.0
2074,2025-08-10 16:05:10,Lat Pulldown (Cable),30.0,12.0
2078,2025-08-10 16:05:10,Lat Pulldown (Cable),27.75,9.0
2080,2025-08-10 16:05:10,Lat Pulldown (Cable),27.75,11.0
2081,2025-08-10 16:05:10,Bicep Curl (Dumbbell),7.0,9.0
2082,2025-08-10 16:05:10,Bicep Curl (Dumbbell),7.0,3.0
2084,2025-08-10 16:05:10,Bicep Curl (Dumbbell),7.0,8.0
2085,2025-08-10 16:05:10,Bicep Curl (Dumbbell),8.0,8.0
2087,2025-08-10 16:05:10,Bicep Curl (Dumbbell),7.0,8.0
2091,2025-08-10 21:58:25,Leg Extension (Machine),13.6077711,9.0
2100,2025-08-10 21:58:25,Leg Extension (Machine),18.143694800000002,10.0
2101,2025-08-10 21:58:25,Leg Extension (Machine),18.143694800000002,8.0
2102,2025-08-10 21:58:25,Leg Extension (Machine),9.071847400000001,14.0
2103,2025-08-10 21:58:25,Leg Extension (Machine),13.6077711,9.0
2104,2025-08-10 21:58:25,Seated Calf Raise (Plate Loaded),25.0,30.0
2108,2025-08-10 21:58:25,Seated Calf Raise (Plate Loaded),30.0,14.0
2109,2025-08-10 21:58:25,Seated Calf Raise (Plate Loaded),20.0,30.0
2111,2025-08-10 21:58:25,Seated Calf Raise (Plate Loaded),30.0,17.0
2112,2025-08-10 21:58:25,Seated Calf Raise (Plate Loaded),10.0,30.0
2120,2025-08-10 21:58:25,Seated Leg Curl (Machine),27.2155422,9.0
2121,2025-08-10 21:58:25,Seated Leg Curl (Machine),27.2155422,11.0
2123,2025-08-10 21:58:25,Seated Leg Curl (Machine),18.143694800000002,19.0
2124,2025-08-10 21:58:25,Seated Leg Curl (Machine),27.2155422,10.0
2125,2025-08-10 21:58:25,Seated Leg Curl (Machine),24.947580350000003,9.0
2129,2025-08-11 10:17:30,Lateral Raise (Dumbbell),4.0,10.0
2131,2025-08-11 10:17:30,Lateral Raise (Dumbbell),5.0,8.0
2132,2025-08-11 10:17:30,Lateral Raise (Dumbbell),5.0,8.0
2134,2025-08-11 10:17:30,Lateral Raise (Dumbbell),3.0,16.0
2135,2025-08-11 10:17:30,Lateral Raise (Dumbbell),4.0,9.0
2136,2025-08-11 10:17:30,Bench Press (Dumbbell),11.0,8.0
2141,2025-08-11 10:17:30,Bench Press (Dumbbell),10.0,13.0
2142,2025-08-11 10:17:30,Bench Press (Dumbbell),11.0,14.0
2143,2025-08-11 10:17:30,Bench Press (Dumbbell),11.0,16.0
2144,2025-08-11 10:17:30,Bench Press (Dumbbell),11.0,9.0
2149,2025-08-11 10:17:30,Triceps Extension (Cable),15.0,9.0
2150,2025-08-11 10:17:30,Triceps Extension (Cable),10.0,16.0
2151,2025-08-11 10:17:30,Triceps Extension (Cable),15.0,12.0
2154,2025-08-11 10:17:30,Triceps Extension (Cable),15.0,11.0
2155,2025-08-11 10:17:30,Triceps Extension (Cable),20.0,8.0
2158,2025-08-14 12:50:25,Cable Crunch,20.0,20.0
2161,2025-08-14 12:50:25,Cable Crunch,30.0,20.0
2162,2025-08-14 12:50:25,Cable Crunch,50.0,20.0
2166,2025-08-14 12:50:25,Cable Crunch,40.0,20.0
2167,2025-08-14 17:26:27,Hip Abductor (Machine),62.5,10.0
2168,2025-08-14 17:26:27,Hip Abductor (Machine),52.5,13.0
2171,2025-08-14 17:26:27,Hip Abductor (Machine),60.0,10.0
2173,2025-08-14 17:26:27,Hip Abductor (Machine),55.0,14.0
2176,2025-08-14 17:26:27,Hip Abductor (Machine),60.0,9.0
2179,2025-08-14 17:26:27,Hip Adductor (Machine),55.0,10.0
2183,2025-08-14 17:26:27,Hip Adductor (Machine),62.5,9.0
2186,2025-08-14 17:26:27,Hip Adductor (Machine),67.5,10.0
2189,2025-08-14 17:26:27,Hip Adductor (Machine),50.0,11.0
2190,2025-08-14 17:26:27,Hip Adductor (Machine),60.0,7.0
2192,2025-08-14 17:26:27,Seated Leg Press (Machine),36.287389600000004,16.0
2196,2025-08-14 17:26:27,Seated Leg Press (Machine),45.359237,14.0
2201,2025-08-14 17:26:27,Seated Leg Press (Machine),45.359237,8.0
2203,2025-08-14 17:26:27,Seated Leg Press (Machine),45.359237,10.0
2206,2025-08-14 17:26:27,Seated Leg Press (Machine),45.359237,9.0
2207,2025-08-14 17:26:27,Seated Leg Press (Machine),18.143694800000002,5.0
2210,2025-08-15 13:58:47,Lat Pulldown (Cable),32.5,8.0
2211,2025-08-15 13:58:47,Lat Pulldown (Cable),30.0,8.0
2212,2025-08-15 13:58:47,Lat Pulldown (Cable),30.0,9.0
2217,2025-08-15 13:58:47,Lat Pulldown (Cable),32.5,10.0
2218,2025-08-15 13:58:47,Bicep Curl (Dumbbell),7.0,6.0
2219,2025-08-15 13:58:47,Bicep Curl (Dumbbell),8.0,10.0
2223,2025-08-15 13:58:47,Bicep Curl (Dumbbell),7.0,8.0
2225,2025-08-15 13:58:47,Bicep Curl (Dumbbell),8.0,6.0
2226,2025-08-16 13:20:22,Leg Extension (Machine),18.143694800000002,7.0
2230,2025-08-16 13:20:22,Leg Extension (Machine),18.143694800000002,10.0
2231,2025-08-16 13:20:22,Leg Extension (Machine),9.071847400000001,16.0
2233,2025-08-16 13:20:22,Leg Extension (Machine),13.6077711,12.0
2238,2025-08-16 13:20:22,Leg Extension (Machine),13.6077711,7.0
2239,2025-08-16 13:20:22,Seated Leg Curl (Machine),24.947580350000003,10.0
2242,2025-08-16 13:20:22,Seated Leg Curl (Machine),27.2155422,12.0
2244,2025-08-16 13:20:22,Seated Leg Curl (Machine),24.947580350000003,11.0
2246,2025-08-16 13:20:22,Seated Leg Curl (Machine),27.2155422,9.0
2248,2025-08-16 13:20:22,Seated Leg Curl (Machine),18.143694800000002,20.0
2250,2025-08-16 13:20:22,Seated Calf Raise (Plate Loaded),30.0,19.0
2252,2025-08-16 13:20:22,Seated Calf Raise (Plate Loaded),30.0,16.0
2253,2025-08-16 13:20:22,Seated Calf Raise (Plate Loaded),25.0,21.0
2255,2025-08-16 13:20:22,Seated Calf Raise (Plate Loaded),30.0,22.0
2265,2025-08-17 12:50:36,Lateral Raise (Dumbbell),4.0,10.0
2266,2025-08-17 12:50:36,Lateral Raise (Dumbbell),4.0,11.0
2269,2025-08-17 12:50:36,Lateral Raise (Dumbbell),4.0,12.0
2270,2025-08-17 12:50:36,Lateral Raise (Dumbbell),4.0,12.0
2274,2025-08-17 12:50:36,Bench Press (Dumbbell),12.0,12.0
2277,2025-08-17 12:50:36,Bench Press (Dumbbell),12.0,9.0
2278,2025-08-17 12:50:36,Bench Press (Dumbbell),12.0,12.0
2283,2025-08-17 12:50:36,Bench Press (Dumbbell),12.0,8.0
2288,2025-08-17 12:50:36,Triceps Extension (Cable),20.0,10.0
2289,2025-08-17 12:50:36,Triceps Extension (Cable),20.0,8.0
2290,2025-08-17 12:50:36,Triceps Extension (Cable),15.0,14.0
2295,2025-08-17 12:50:36,Triceps Extension (Cable),20.0,11.0
2296,2025-08-18 19:44:34,Hip Abductor (Machine),55.0,12.0
2299,2025-08-18 19:44:34,Hip Abductor (Machine),65.0,10.0
2300,2025-08-18 19:44:34,Hip Abductor (Machine),60.0,7.0
2301,2025-08-18 19:44:34,Hip Abductor (Machine),62.5,11.0
2305,2025-08-18 19:44:34,Hip Abductor (Machine),57.5,11.0
2311,2025-08-18 19:44:34,Hip Adductor (Machine),65.0,5.0
2313,2025-08-18 19:44:34,Hip Adductor (Machine),65.0,7.0
2314,2025-08-18 19:44:34,Hip Adductor (Machine),50.0,10.0
2322,2025-08-18 19:44:34,Hip Adductor (Machine),70.0,5.0
2323,2025-08-18 19:44:34,Hip Adductor (Machine),55.0,8.0
2324,2025-08-18 19:44:34,Hip Adductor (Machine),60.0,3.0
2325,2025-08-18 19:44:34,Leg Extension (Machine),13.6077711,10.0
2327,2025-08-18 19:44:34,Leg Extension (Machine),13.6077711,11.0
2329,2025-08-18 19:44:34,Leg Extension (Machine),9.071847400000001,14.0
2332,2025-08-18 19:44:34,Leg Extension (Machine),18.143694800000002,8.0
2335,2025-08-18 19:44:34,Leg Extension (Machine),18.143694800000002,9.0
2336,2025-08-19 22:47:32,Lat Pulldown (Cable),32.5,7.0
2337,2025-08-19 22:47:32,Lat Pulldown (Cable),30.0,10.0
2339,2025-08-19 22:47:32,Lat Pulldown (Cable),32.5,2.0
2342,2025-08-19 22:47:32,Lat Pulldown (Cable),32.5,10.0
2346,2025-08-19 22:47:32,Bicep Curl (Dumbbell),7.0,7.0
2348,2025-08-19 22:47:32,Bicep Curl (Dumbbell),8.0,9.0
2349,2025-08-19 22:47:32,Bicep Curl (Dumbbell),7.0,8.0
2351,2025-08-19 22:47:32,Bicep Curl (Dumbbell),8.0,7.0
2355,2025-08-21 15:06:31,Seated Leg Press (Machine),54.4310844,3.0
2357,2025-08-21 15:06:31,Seated Leg Press (Machine),18.143694800000002,5.0
2361,2025-08-21 15:06:31,Seated Leg Press (Machine),45.359237,17.0
2366,2025-08-21 15:06:31,Lat Pulldown (Cable),45.0,9.0
2369,2025-08-21 15:06:31,Lat Pulldown (Cable),45.0,12.0
2373,2025-08-21 15:06:31,Seated Calf Raise (Plate Loaded),30.0,18.0
2376,2025-08-21 15:06:31,Seated Calf Raise (Plate Loaded),35.0,15.0
2377,2025-08-21 15:06:31,Seated Calf Raise (Plate Loaded),30.0,14.0
2379,2025-08-21 15:06:31,Seated Calf Raise (Plate Loaded),30.0,16.0
2381,2025-08-21 15:06:31,Leg Extension (Machine),22.6796185,15.0
2384,2025-08-21 15:06:31,Leg Extension (Machine),18.143694800000002,18.0
2385,2025-08-21 15:06:31,Leg Extension (Machine),22.6796185,9.0
2388,2025-08-21 15:06:31,Leg Extension (Machine),22.6796185,13.0
2391,2025-08-21 15:06:31,Leg Extension (Machine),18.143694800000002,20.0
